timetweet,isitweet,favcount,retwcount,id,name
2022-11-29 11:37:35,b'Mulai skrg piala dunia ga ada yg sore ya? Huft.',0,0,1597555368871485441,happyriezky
2022-11-29 11:37:30,"b'RT @03__nakula: Piala Dunia 2022 di Qatar, semuanya tentang Ronaldo. https://t.co/DSBkNVnxEk'",0,1,1597555346570035200,Arie71733194
2022-11-29 11:37:22,b'RT @Muhammad_Saewad: Kenapa anda menolak menggunakan ban kapten LGBT?\n\nCR7 : \nSaya mengikuti aturan Qatar sebagai tuan rumah Piala Dunia 20\xe2\x80\xa6',0,86,1597555314328743936,DedehKu35747938
2022-11-29 11:37:15,b'RT @utdfocusid: Negosiasi transfer Jeremie Frimpong ke Manchester United akan dilangsungkan setelah Piala Dunia. \xf0\x9f\x87\xb3\xf0\x9f\x87\xb1\n\nFrimpong sendiri sanga\xe2\x80\xa6',0,5,1597555282384932865,YuliusJbrjrc
2022-11-29 11:37:01,"b'Contohnya kayak beberapa waktu lalu official account brand besar sambat di Twitter karena susahnya mengikuti trend piala dunia tanpa harus sebut namanya.\n\nTapi bagaimanapun inilah bentuk peraturan yg sebenarnya. Kita gaboleh pake atribut resmi tanpa seijin pemiliknya, yaitu FIFA. https://t.co/PrzeikJEt9'",1,0,1597555226382577664,belajarlagiHQ
2022-11-29 11:36:52,"b'Jadwal Bola Hari Ini, Siaran Langsung Piala Dunia 2022: Iran vs Amerika Serikat, Wales vs Inggris\n \nhttps://t.co/bNeah141y6 lewat @tribunnews'",0,0,1597555187056791552,helmiperkasa5
2022-11-29 11:36:46,"b'RT @BBST15: JADUAL PERLAWANAN KE-3 PIALA DUNIA 2022 \xf0\x9f\x94\xa5\n\n\xe2\x8f\xb0 11 mlm, 3 pagi\n\xf0\x9f\x93\xba astro supersport, TV2, TV Okey\n\n#FIFAWorldCup | #Qatar2022 https:\xe2\x80\xa6'",0,51,1597555162671124481,zaimzaim2807
2022-11-29 11:36:44,"b'500 orang masuk Islam selama permulaan Piala Dunia 2022, Hoax atau Fakta?\nhttps://t.co/FRqt2EjARO\n================\nDownload dan Install aplikasi Cek Porsi Haji di Android anda https://t.co/GXRuuXpnLF\n#mualaf #Dakwah #PialaDunia2022'",0,0,1597555153841684481,sukarja
2022-11-29 11:36:32,b'@ndagels Kebanyakan nonton piala dunia',0,0,1597555104433213440,SaifulH19680141
2022-11-29 11:36:15,"b'RT @NyaiiBubu: Cantiknya suporter wanita Arab Saudi saat nonton Piala Dunia 2022. \nJilbab tak lagi wajib, tanpa paksaan lagi di negaranya R\xe2\x80\xa6'",0,99,1597555032865804289,Arwilda_
2022-11-29 11:36:12,b'nonton piala dunia https://t.co/pax472ojdE',0,0,1597555018433196032,stillberries
2022-11-29 11:36:09,"b'RT @belajarlagiHQ: FIFA ketat banget ngasih aturan trademark soal pildun ini. Jangankan nulis lengkap, cuma sekedar kata ""piala dunia"" aja\xe2\x80\xa6'",0,6,1597555007208890368,raku__nn
2022-11-29 11:35:55,"b'\xf0\x9f\x90\xbf\xef\xb8\x8f VIDIO\xf0\x9f\x90\xbf\xef\xb8\x8f\n\n~Sharing\n1 hari : 2.500\n3 hari : 6.000\n1 bulan : 10.000\n1 bulan : 16.000 (anti limit)\n\n~Private\n1 bulan : 25.000\n\nPiala dunia 3 bulan\nPrivate 90k (mobile)\nPrivate 115k (all device)\n\n\xe0\xad\xad\xcc\xa5\xe2\x8b\x86*\xef\xbd\xa1Trusted, fast proses, full garansi\n\n\xf0\x9f\x92\xb3 DANA &amp; ShopeePay https://t.co/P2vuFjYEfg'",0,0,1597554947415224320,pleskukii
2022-11-29 11:35:54,b'RT @ryuhasan: kosple jadi maskot piala dunia arap https://t.co/W7XYcjO843',0,24,1597554943338369024,Krosandaa
2022-11-29 11:35:52,"b'Lagi On Fire, Bruno Fernandes Kunci Utama Portugal Wujudkan Target Juara Piala Dunia 2022  https://t.co/q0syaJouH4'",0,0,1597554935062724609,twit_olahraga
2022-11-29 11:35:41,"b'Belanda dikritik belum main bagus di Piala Dunia 2022. Louis van Gaal, ingatkan kalau Belanda di bawah polesannya tak terkalahkan di 17 laga beruntun!  https://t.co/BoNtdJtgNX'",0,0,1597554888011124737,detikcom
2022-11-29 11:35:39,"b'Di balik hijaunya rumput Stadion Piala Dunia 2022 Qatar, ada peran petani Indonesia yang berhasil menyulap padang pasir yang tandus menjadi taman-taman hijau. Saprudin Bastomi dipercaya mempersiapkan keindahan stadion-stadion di Qatar yang dipakai untuk... https://t.co/IZ6POVf0kb'",0,0,1597554879245029381,detiksport
2022-11-29 11:35:35,"b'Ini Daftar Promo Restoran dan Kafe Spesial Piala Dunia 2022, Ayoo Serbu...!! https://t.co/KiYW6BYaLO'",0,0,1597554865114611712,jamindependent
2022-11-29 11:35:31,b'RT @CNNIndonesia: PDIP Batal Gelar HUT di GBK karena Dipakai Persiapan Piala Dunia U-20 https://t.co/EUO0EdEfVr',0,10,1597554846319620097,sulikhsan_
2022-11-29 11:35:27,b'@CNNIndonesia Saya berharap jika piala Dunia berkesempatan di selenggarakan di Indonesia aksi seperti ini akan dan harus di tindak tegas',0,0,1597554831719542784,JerryValeron
2022-11-29 11:35:25,b'Ekuador Vs Senegal Grup A Piala Dunia 2022: Prediksi dan Link Live Streaming - Inilah Bandung https://t.co/JH30InlWbK \n\n#ekuadorvssenegal\n#PialaDuniaQatar2022 \n#inilahbandung https://t.co/QDtEDhJljE',0,0,1597554821472849921,inilahbdgcom
2022-11-29 11:35:23,"b'RT @AdaraRelief: Di tengah ramainya perayaan Piala Dunia di Qatar, simaklah foto berikut. Foto langka ini adalah potret pertandingan sepakb\xe2\x80\xa6'",0,1,1597554813750849537,SriViraChandra
2022-11-29 11:35:18,b'RT @BetaKopites: \xe2\x9a\xbd GIVE AWAY\xe2\x9a\xbd\nHadiah 50rb untuk 2 org. Masing\xc2\xb2 25rb\n\nTebak Skor Piala Dunia\n\xf0\x9f\x87\xae\xf0\x9f\x87\xb7 Iran vs USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb2\n\n1. Follow Betakopites\n2. Fol\xe2\x80\xa6',0,122,1597554792062390272,yogiee45
2022-11-29 11:34:50,b'RT @Husen_Jafar: Piala Dunia sudah dimulai. Jangan judi!',0,5452,1597554677641465856,GaluhSuminar
2022-11-29 11:34:37,"b'@wasdrown Menghabiskan waktu dengan mengobrol bersama bapak satpam tidak pernah masuk dalam daftar ""hal mengasikan yang bisa dilakukan saat gabut melanda"". \n\nKiranya nyaris satu jam mendengar pak Prapto menceritakan tentang keseruan nontin bareng Piala Dunia di kampung tempat tinggalnya.'",0,0,1597554621362630656,debrightonce
2022-11-29 11:34:26,"b'@idextratime Piala dunia kali ini secara keseruan pertandingan paling top,, serasa berimbang semua\nSehari bisa dobel drama, seperti kmaren, edisi sebelumnya jarang ada drama di babak grup'",0,0,1597554573916282880,IwnNrhmn
2022-11-29 11:34:17,b'JP ? DI GAJAH BOLA ?\nHANYA DENGAN MODAL 250K?\nPERKALIAN AUTO CONECT DAN PECAH ?\nTENTU SAJA UNTUK HARI INI SEDANG GACOR DI \nSTARLIGHT PRINCESS!\n\nSegera login dan bermain di GAJAH BOLA \nTonton juga piala dunia bersama dengan GAJAH BOLA\n\nLINK SUPER GACOR : https://t.co/7j7yeWh74D https://t.co/V5zBuYuSOO',0,0,1597554535454474245,OfficialGajah
2022-11-29 11:34:11,"b'FIFA membuat brand aset resmi kayak logo, font dll untuk piala dunia kali ini, yg udah terdaftar resmi milik FIFA.\n\nInilah kenapa brand tampak jarang menggunakan kata kata piala dunia, terutama untuk brand besar yg tentu berpotensi dilirik oleh FIFA.'",0,0,1597554510582657025,belajarlagiHQ
2022-11-29 11:33:59,"b'@bliblidotcom member lain kurang tau min, tapi kalo jungwoo mah ada jadwal nobar piala dunia sama gw'",0,0,1597554463069249536,inibukanjungwoo
2022-11-29 11:33:52,b'Brasil sukses menjejak babak 16 besar Piala Dunia 2022. Casemiro peringatkan rival-rivalnya bahwa Brasil kini lebih kuat ketimbang di edisi sebelumnya. #JuaraBolaDunia  https://t.co/bPdRPU55mN',2,0,1597554430769086466,detikcom
2022-11-29 11:33:50,"b'RT @muslimahnewscom: [Thread]\nMuslimah News \xe2\x80\x93 Piala Dunia, perhelatan sepak bola dunia empat tahun sekali kembali digelar selama satu bulan\xe2\x80\xa6'",0,72,1597554422166323200,Fathimahmalika
2022-11-29 11:33:38,b'RT @drzul_albakri: Saya tak pandai ulas tapi saya cuba\xe2\x80\xa6\n\nSaya merasa terharu kerana tidak menyangka sambutan masyarakat dunia yang hadir ke\xe2\x80\xa6',0,1033,1597554371918966785,nazima_e
2022-11-29 11:33:36,"b'Piala Dunia 2022: Argentiva vs Polandia, Preview, Prediksi Lineup, Rekor Pertemuan, Ocehan Pelatih https://t.co/eM6Cg4dSrM'",0,0,1597554364851552256,ekbistangsel
2022-11-29 11:33:32,"b'[VIDEO] Tim yang Lolos 16 Besar Piala Dunia 2022, Mana Jagoanmu? https://t.co/XXzPkwgjrU #vlix'",0,0,1597554348997115904,VIVAcoid
2022-11-29 11:33:26,b'Pengalaman beli tiket dan menonton langsung Piala Dunia 2022 pada pertandingan antara Jepang vs Kosta Rika di Qatar: tiketnya berebut! #Infinite\nhttps://t.co/NL8SuFkQig',0,0,1597554324405903360,kompasiana
2022-11-29 11:33:26,b'RT @resca_ayue25: \xf0\x9f\x93\xbaLIVE STREAMING PIALA DUNIA\n\xe2\x9a\xbd\xef\xb8\x8fWORLD CUP\n\nEKUADOR VS SENEGAL\nhttps://t.co/M2NYGqzA2U\n\nBELANDA VS QATAR\nhttps://t.co/R6NsVC\xe2\x80\xa6',0,127,1597554323873202177,bingojiee
2022-11-29 11:33:26,b'Piala dunia 2022',0,0,1597554322916528128,bigwinjusey08
2022-11-29 11:33:22,"b'RT @belajarlagiHQ: FIFA ketat banget ngasih aturan trademark soal pildun ini. Jangankan nulis lengkap, cuma sekedar kata ""piala dunia"" aja\xe2\x80\xa6'",0,6,1597554307490275328,AgusKuswoyo_
2022-11-29 11:33:11,b'RT @DPP_PKB: Gus Muhaimin balas mengapresiasi Qatar yang mampu menggelar kejuaraan sepak bola paling bergengsi dgn elegan. \n\nhttps://t.co/m\xe2\x80\xa6',0,95,1597554262141464576,marnobgrpb
2022-11-29 11:33:11,"b""Ahli Fisika asal Amerika Serikat Puji Bola Piala Dunia Buatan Indonesia, 'Beraerodinamika Tinggi' \n\nhttps://t.co/1Ka4uh8wTZ""",0,0,1597554260329213953,tebakanbola
2022-11-29 11:33:06,"b'Gamau jadwal tidur rusak lagi, tapi ini piala dunia \xf0\x9f\x98\x82'",0,0,1597554239798407169,katikcakil
2022-11-29 11:33:00,b'RT @pie_pumpkinpies: \xc2\xb0 Jersey bola piala dunia Qatar 2022 \xc2\xb0 \n\na thread https://t.co/pascMMsENP',0,14,1597554213323964422,unvrkwn
2022-11-29 11:32:56,b'RT @drzul_albakri: Saya tak pandai ulas tapi saya cuba\xe2\x80\xa6\n\nSaya merasa terharu kerana tidak menyangka sambutan masyarakat dunia yang hadir ke\xe2\x80\xa6',0,1033,1597554197750517761,mohamadmuzaffar
